epoch,train_loss,train_acc,val_acc,gap
1,0.6711,0.7753,0.8369,-0.0616
2,0.3076,0.8990,0.9133,-0.0143
3,0.2245,0.9269,0.9161,0.0108
4,0.1737,0.9425,0.9217,0.0208
5,0.1336,0.9547,0.9298,0.0249
6,0.0989,0.9662,0.9267,0.0395
7,0.0727,0.9750,0.9309,0.0441
8,0.0496,0.9836,0.9317,0.0519
9,0.0308,0.9906,0.9334,0.0572
10,0.0192,0.9947,0.9346,0.0601
11,0.0113,0.9976,0.9363,0.0614
12,0.0069,0.9990,0.9367,0.0623
13,0.0049,0.9994,0.9375,0.0619
14,0.0038,0.9996,0.9365,0.0631
15,0.0032,0.9997,0.9377,0.0619
16,0.0028,0.9997,0.9375,0.0622
17,0.0026,0.9997,0.9374,0.0623
18,0.0024,0.9997,0.9373,0.0624
19,0.0023,0.9997,0.9374,0.0623
20,0.0022,0.9998,0.9368,0.0629
